iter	Logloss
0	0.541378398
1	0.4606292742
2	0.4114023968
3	0.3789104439
4	0.3569437311
5	0.3395887481
6	0.3301132577
7	0.3221646811
8	0.3173261084
9	0.3136281849
10	0.3099929642
11	0.3068070718
12	0.304470864
13	0.3024775489
14	0.3010507253
15	0.2997087085
16	0.2983121776
17	0.2969310762
18	0.295401722
19	0.2942460984
20	0.2926239966
21	0.2918052173
22	0.2911290508
23	0.2902230278
24	0.2895860366
25	0.2888682086
26	0.2882710537
27	0.2880611845
28	0.2871261069
29	0.2861788814
30	0.2858272638
31	0.2852323909
32	0.2847874858
33	0.2844719944
34	0.284115426
35	0.2824349243
36	0.2822849491
37	0.2810303205
38	0.2806687378
39	0.2792482196
40	0.2784742244
41	0.2782504732
42	0.27766196
43	0.2775477101
44	0.2775071235
45	0.2768864239
46	0.2764511948
47	0.2763571658
48	0.2759326118
49	0.2758366192
50	0.2753945449
51	0.2750468774
52	0.275020459
53	0.275018369
54	0.2749975049
55	0.2748753058
56	0.2745860659
57	0.274294782
58	0.2739751875
59	0.2735427002
60	0.2733283421
61	0.2731229555
62	0.2725944135
63	0.2720091415
64	0.2718434828
65	0.2718156036
66	0.2717109549
67	0.2715066456
68	0.2714727065
69	0.2712399388
70	0.270882016
71	0.2706155835
72	0.2705043821
73	0.2703055512
74	0.2700294834
75	0.2698968165
76	0.2697831391
77	0.2690800645
78	0.2689540416
79	0.2688528684
80	0.2687291178
81	0.2685128375
82	0.2684832518
83	0.2683189333
84	0.2680542655
85	0.2678517162
86	0.2677110462
87	0.2676188469
88	0.2673651418
89	0.2673504525
90	0.2673216723
91	0.2673001123
92	0.2671087184
93	0.2670748597
94	0.2668269253
95	0.266738015
96	0.2666570904
97	0.2664513618
98	0.2663549049
99	0.2663529752
