iter	Passed	Remaining
0	163	16207
1	187	9180
2	210	6812
3	236	5665
4	261	4963
5	284	4464
6	308	4098
7	334	3845
8	358	3626
9	383	3447
10	406	3288
11	430	3156
12	454	3038
13	480	2949
14	503	2853
15	527	2770
16	551	2691
17	576	2627
18	601	2564
19	628	2514
20	652	2454
21	676	2397
22	700	2344
23	724	2295
24	748	2245
25	773	2201
26	795	2151
27	818	2104
28	840	2058
29	863	2014
30	886	1972
31	911	1936
32	933	1895
33	955	1855
34	978	1816
35	1000	1778
36	1022	1741
37	1047	1709
38	1070	1674
39	1093	1639
40	1115	1605
41	1140	1574
42	1163	1541
43	1187	1511
44	1210	1479
45	1233	1448
46	1258	1418
47	1280	1387
48	1303	1357
49	1328	1328
50	1350	1297
51	1373	1267
52	1395	1237
53	1418	1208
54	1440	1178
55	1465	1151
56	1488	1122
57	1511	1094
58	1533	1065
59	1555	1036
60	1577	1008
61	1602	982
62	1626	954
63	1648	927
64	1671	900
65	1693	872
66	1716	845
67	1740	819
68	1762	792
69	1785	765
70	1807	738
71	1831	712
72	1854	685
73	1878	659
74	1900	633
75	1922	607
76	1944	580
77	1967	555
78	1991	529
79	2016	504
80	2039	478
81	2061	452
82	2085	427
83	2107	401
84	2129	375
85	2156	350
86	2179	325
87	2201	300
88	2224	274
89	2249	249
90	2273	224
91	2298	199
92	2321	174
93	2344	149
94	2366	124
95	2389	99
96	2411	74
97	2436	49
98	2458	24
99	2481	0
